Fe,Co,Cr,Ni,Al,Ti
19,22,9,42,6,2
18,22,9,43,6,2
18,17,20,33,9,3
20,18,10,42,9,1
20,19,9,42,9,1
20,17,10,43,9,1
20,18,9,43,9,1
20,16,10,44,9,1
20,17,9,44,9,1
20,15,10,45,9,1
20,16,9,45,9,1
19,17,25,26,10,3
19,16,25,27,10,3
19,17,24,27,10,3
19,15,25,28,10,3
19,16,24,28,10,3
19,17,23,28,10,3
19,14,20,34,9,4
20,22,23,31,2,2
20,22,22,32,2,2
21,20,10,42,5,2
21,20,9,43,5,2
18,24,15,38,3,2
18,27,10,36,8,1
19,27,9,36,8,1
18,30,21,23,6,2
18,29,21,24,6,2
18,28,21,25,6,2
18,27,21,26,6,2
18,26,21,27,6,2
18,25,21,28,6,2
17,20,10,43,9,1
16,20,10,44,9,1
17,20,9,44,9,1
15,20,10,45,9,1
16,20,9,45,9,1
19,20,21,35,4,1
18,25,11,37,8,1
19,24,11,37,8,1
17,30,21,24,6,2
16,30,21,25,6,2
17,29,21,25,6,2
15,30,21,26,6,2
16,29,21,26,6,2
17,28,21,26,6,2
15,29,21,27,6,2
16,28,21,27,6,2
17,27,21,27,6,2
15,28,21,28,6,2
16,27,21,28,6,2
17,26,21,28,6,2
20,24,11,37,7,1
22,20,11,39,6,2
17,21,13,44,3,2
16,21,13,45,3,2
15,21,13,46,3,2
20,15,20,32,9,4
20,14,20,33,9,4
22,20,11,40,6,1
18,17,11,42,10,2
19,16,11,42,10,2
18,16,11,43,10,2
19,15,11,43,10,2
18,15,11,44,10,2
19,14,11,44,10,2
18,14,11,45,10,2
19,13,11,45,10,2
20,16,20,31,9,4
20,17,25,24,10,4
20,16,25,25,10,4
20,17,24,25,10,4
20,15,25,26,10,4
20,16,24,26,10,4
20,17,23,26,10,4
20,14,25,27,10,4
20,15,24,27,10,4
20,16,23,27,10,4
20,17,22,27,10,4
20,13,25,28,10,4
20,14,24,28,10,4
20,15,23,28,10,4
20,16,22,28,10,4
20,17,21,28,10,4
21,27,10,32,9,1
21,27,9,32,10,1
21,27,10,31,10,1
17,22,10,44,6,1
16,22,10,45,6,1
17,22,9,45,6,1
19,21,20,36,2,2
21,17,20,38,2,2
15,20,12,42,9,2
16,19,12,42,9,2
17,18,12,42,9,2
15,19,12,43,9,2
16,18,12,43,9,2
17,17,12,43,9,2
15,18,12,44,9,2
16,17,12,44,9,2
17,16,12,44,9,2
15,17,12,45,9,2
16,16,12,45,9,2
17,15,12,45,9,2
21,21,12,41,4,1
21,23,14,40,1,1
21,27,10,33,8,1
21,25,10,38,5,1
21,26,9,38,5,1
22,19,11,40,6,2
19,21,11,41,6,2
22,18,11,41,6,2
20,13,21,32,9,5
19,16,20,34,7,4
23,21,16,28,10,2
20,17,20,32,7,4
20,16,20,33,7,4
20,13,22,31,9,5
20,14,21,31,9,5
18,18,25,33,5,1
17,18,25,34,5,1
18,18,24,34,5,1
19,13,24,29,9,6
19,14,23,29,9,6
19,15,22,29,9,6
19,16,21,29,9,6
19,13,23,30,9,6
19,14,22,30,9,6
19,15,21,30,9,6
18,17,12,42,10,1
19,16,12,42,10,1
18,16,12,43,10,1
19,15,12,43,10,1
18,15,12,44,10,1
19,14,12,44,10,1
18,14,12,45,10,1
19,13,12,45,10,1
23,18,16,35,6,2
20,17,19,35,5,4
19,23,12,39,5,2
18,23,12,40,5,2
20,13,22,29,10,6
20,14,21,29,10,6
20,13,21,30,10,6
21,24,9,39,6,1
19,15,20,32,10,4
19,14,20,33,10,4
20,17,20,32,6,5
20,16,20,33,6,5
20,15,20,34,6,5
19,17,25,27,9,3
19,16,25,28,9,3
19,17,24,28,9,3
19,16,20,31,10,4
19,14,25,29,7,6
19,15,24,29,7,6
19,16,23,29,7,6
19,17,22,29,7,6
19,13,25,30,7,6
19,14,24,30,7,6
19,15,23,30,7,6
19,16,22,30,7,6
19,17,21,30,7,6
19,27,10,36,7,1
18,24,10,37,10,1
18,25,10,37,9,1
18,25,9,37,10,1
18,26,9,37,9,1
19,24,10,37,9,1
19,24,9,37,10,1
19,25,9,37,9,1
18,17,14,34,10,7
19,16,14,34,10,7
20,13,24,31,7,5
20,14,23,31,7,5
20,15,22,31,7,5
20,16,21,31,7,5
20,13,23,32,7,5
20,14,22,32,7,5
20,15,21,32,7,5
20,13,22,33,7,5
20,14,21,33,7,5
19,27,20,29,3,2
20,25,21,29,3,2
19,20,13,43,3,2
18,20,13,44,3,2
19,19,13,44,3,2
18,19,13,45,3,2
19,18,13,45,3,2
18,18,13,46,3,2
19,17,13,46,3,2
20,21,17,39,2,1
19,28,20,29,3,1
19,27,20,30,3,1
19,26,20,31,3,1
19,25,20,32,3,1
19,24,20,33,3,1
19,23,12,40,5,1
18,23,12,41,5,1
20,14,12,42,10,2
20,13,12,43,10,2
19,17,14,34,10,6
17,30,15,30,6,2
16,30,15,31,6,2
17,29,15,31,6,2
15,30,15,32,6,2
16,29,15,32,6,2
17,28,15,32,6,2
15,29,15,33,6,2
16,28,15,33,6,2
17,27,15,33,6,2
15,28,15,34,6,2
16,27,15,34,6,2
17,26,15,34,6,2
15,27,15,35,6,2
16,26,15,35,6,2
17,25,15,35,6,2
15,28,12,37,7,1
15,27,15,36,5,2
16,26,15,36,5,2
17,25,15,36,5,2
17,21,14,43,3,2
16,21,14,44,3,2
15,21,14,45,3,2
20,21,11,36,10,2
18,18,11,42,9,2
19,17,11,42,9,2
18,17,11,43,9,2
19,16,11,43,9,2
18,16,11,44,9,2
19,15,11,44,9,2
18,15,11,45,9,2
19,14,11,45,9,2
17,26,11,37,8,1
20,17,25,25,9,4
20,16,25,26,9,4
20,17,24,26,9,4
20,15,25,27,9,4
20,16,24,27,9,4
20,17,23,27,9,4
20,14,25,28,9,4
20,15,24,28,9,4
20,16,23,28,9,4
20,17,22,28,9,4
18,25,21,29,5,2
18,24,21,30,5,2
20,24,13,38,3,2
15,28,21,29,5,2
16,27,21,29,5,2
17,26,21,29,5,2
15,27,21,30,5,2
16,26,21,30,5,2
17,25,21,30,5,2
22,15,20,38,3,2
21,14,11,46,7,1
18,16,10,46,8,2
18,17,9,46,8,2
19,15,10,46,8,2
19,16,9,46,8,2
18,16,14,35,10,7
19,15,14,35,10,7
18,27,12,34,8,1
16,23,12,42,6,1
15,23,12,43,6,1
20,16,13,34,10,7
17,17,15,47,2,2
16,17,15,48,2,2
17,16,15,48,2,2
22,22,14,38,2,2
19,13,22,29,10,7
19,14,21,29,10,7
19,13,21,30,10,7
23,21,16,29,9,2
23,21,16,30,8,2
15,19,15,47,2,2
16,18,15,47,2,2
15,18,15,48,2,2
20,17,25,27,7,4
20,16,25,28,7,4
20,17,24,28,7,4
19,26,25,22,6,2
19,27,24,22,6,2
19,28,23,22,6,2
19,29,22,22,6,2
19,25,25,23,6,2
19,26,24,23,6,2
19,27,23,23,6,2
19,28,22,23,6,2
19,24,25,24,6,2
19,25,24,24,6,2
19,26,23,24,6,2
19,27,22,24,6,2
19,24,24,25,6,2
19,25,23,25,6,2
19,26,22,25,6,2
19,24,23,26,6,2
19,25,22,26,6,2
19,24,22,27,6,2
18,18,12,42,9,1
19,17,12,42,9,1
18,17,12,43,9,1
19,16,12,43,9,1
18,16,12,44,9,1
19,15,12,44,9,1
18,15,12,45,9,1
19,14,12,45,9,1
18,17,14,35,10,6
19,16,14,35,10,6
19,30,20,26,3,2
19,29,20,27,3,2
19,28,20,28,3,2
20,30,21,24,3,2
20,29,21,25,3,2
20,28,21,26,3,2
20,27,21,27,3,2
20,26,21,28,3,2
20,17,13,34,10,6
19,30,20,27,3,1
19,29,20,28,3,1
19,17,15,34,10,5
18,15,12,46,7,2
19,14,12,46,7,2
20,13,23,29,9,6
20,14,22,29,9,6
20,15,21,29,9,6
20,13,22,30,9,6
20,14,21,30,9,6
19,17,14,45,3,2
18,17,14,46,3,2
19,16,14,46,3,2
19,16,20,32,9,4
19,15,20,33,9,4
15,22,21,38,3,1
15,20,12,42,10,1
16,19,12,42,10,1
17,18,12,42,10,1
15,19,12,43,10,1
16,18,12,43,10,1
17,17,12,43,10,1
15,18,12,44,10,1
16,17,12,44,10,1
17,16,12,44,10,1
15,17,12,45,10,1
16,16,12,45,10,1
17,15,12,45,10,1
19,17,20,31,9,4
15,23,20,38,3,1
19,22,20,36,1,2
19,17,25,25,10,4
19,16,25,26,10,4
19,17,24,26,10,4
19,15,25,27,10,4
19,16,24,27,10,4
19,17,23,27,10,4
19,14,25,28,10,4
19,15,24,28,10,4
19,16,23,28,10,4
19,17,22,28,10,4
21,27,11,32,8,1
19,20,14,42,3,2
18,20,14,43,3,2
19,19,14,43,3,2
18,19,14,44,3,2
19,18,14,44,3,2
18,18,14,45,3,2
20,16,15,47,1,1
20,15,15,48,1,1
19,17,14,34,9,7
21,26,10,34,8,1
21,15,13,47,2,2
21,14,13,48,2,2
18,13,21,34,9,5
17,23,10,42,6,2
16,23,10,43,6,2
17,23,9,43,6,2
15,23,10,44,6,2
16,23,9,44,6,2
15,23,9,45,6,2
21,22,23,30,2,2
20,23,11,41,4,1
19,17,17,43,3,1
19,16,17,44,3,1
19,15,17,45,3,1
19,14,17,46,3,1
20,15,12,42,9,2
20,14,12,43,9,2
20,13,12,44,9,2
18,30,21,24,5,2
18,29,21,25,5,2
18,28,21,26,5,2
18,27,21,27,5,2
18,26,21,28,5,2
20,13,25,29,7,6
20,14,24,29,7,6
20,15,23,29,7,6
20,16,22,29,7,6
20,17,21,29,7,6
20,13,24,30,7,6
20,14,23,30,7,6
20,15,22,30,7,6
20,16,21,30,7,6
16,26,10,37,10,1
17,25,10,37,10,1
17,26,10,37,9,1
17,26,9,37,10,1
17,30,21,25,5,2
16,30,21,26,5,2
17,29,21,26,5,2
15,30,21,27,5,2
16,29,21,27,5,2
17,28,21,27,5,2
15,29,21,28,5,2
16,28,21,28,5,2
17,27,21,28,5,2
20,20,12,41,6,1
20,15,13,35,10,7
20,20,12,41,5,2
20,22,24,30,2,2
18,23,20,35,3,1
18,13,23,34,7,5
18,14,22,34,7,5
18,15,21,34,7,5
20,16,13,35,10,6
15,20,10,46,7,2
16,20,9,46,7,2
19,22,12,40,5,2
18,22,12,41,5,2
18,21,21,35,4,1
18,17,15,35,10,5
19,16,15,35,10,5
20,15,10,46,7,2
20,16,9,46,7,2
15,24,10,42,8,1
16,24,9,42,8,1
15,24,9,43,8,1
19,27,12,34,7,1
20,18,20,38,2,2
18,17,14,35,9,7
19,16,14,35,9,7
21,25,10,35,8,1
21,26,9,35,8,1
19,17,20,33,7,4
22,25,12,32,8,1
20,17,13,34,9,7
22,26,12,31,8,1
18,17,10,38,10,7
19,16,10,38,10,7
19,17,9,38,10,7
18,16,10,39,10,7
18,17,9,39,10,7
19,15,10,39,10,7
19,16,9,39,10,7
18,15,10,40,10,7
18,16,9,40,10,7
19,14,10,40,10,7
19,15,9,40,10,7
18,14,10,41,10,7
18,15,9,41,10,7
19,13,10,41,10,7
19,14,9,41,10,7
19,13,23,29,9,7
19,14,22,29,9,7
19,15,21,29,9,7
19,13,22,30,9,7
19,14,21,30,9,7
22,22,15,38,1,2
20,26,21,29,3,1
20,25,21,30,3,1
20,24,21,31,3,1
18,21,20,37,2,2
19,22,12,41,5,1
19,20,20,37,2,2
21,24,10,38,6,1
21,25,9,38,6,1
19,17,14,35,9,6
21,18,12,42,5,2
21,17,12,43,5,2
21,16,12,44,5,2
21,15,12,45,5,2
20,13,21,29,10,7
21,25,9,39,5,1
15,21,21,37,5,1
17,23,20,36,3,1
16,23,20,37,3,1
19,13,25,29,7,7
19,14,24,29,7,7
19,15,23,29,7,7
19,16,22,29,7,7
19,17,21,29,7,7
19,13,24,30,7,7
19,14,23,30,7,7
19,15,22,30,7,7
19,16,21,30,7,7
16,20,12,42,9,1
17,19,12,42,9,1
15,20,12,43,9,1
16,19,12,43,9,1
17,18,12,43,9,1
15,19,12,44,9,1
16,18,12,44,9,1
17,17,12,44,9,1
15,18,12,45,9,1
16,17,12,45,9,1
17,16,12,45,9,1
19,17,14,33,10,7
19,17,25,26,9,4
19,16,25,27,9,4
19,17,24,27,9,4
19,15,25,28,9,4
19,16,24,28,9,4
19,17,23,28,9,4
18,13,22,32,10,5
18,14,21,32,10,5
18,13,21,33,10,5
18,13,23,31,10,5
18,14,22,31,10,5
18,15,21,31,10,5
21,30,15,30,2,2
21,29,15,31,2,2
21,28,15,32,2,2
21,27,15,33,2,2
21,26,15,34,2,2
21,25,15,35,2,2
21,24,15,36,2,2
18,17,25,35,3,2
18,27,10,38,6,1
19,27,9,38,6,1
20,30,15,31,2,2
20,29,15,32,2,2
20,28,15,33,2,2
20,27,15,34,2,2
20,26,15,35,2,2
16,20,10,46,7,1
17,20,9,46,7,1
20,17,21,35,6,1
21,27,10,34,7,1
19,14,20,35,7,5
15,15,25,29,10,6
15,16,24,29,10,6
15,17,23,29,10,6
16,14,25,29,10,6
16,15,24,29,10,6
16,16,23,29,10,6
16,17,22,29,10,6
17,13,25,29,10,6
17,14,24,29,10,6
17,15,23,29,10,6
17,16,22,29,10,6
17,17,21,29,10,6
15,14,25,30,10,6
15,15,24,30,10,6
15,16,23,30,10,6
15,17,22,30,10,6
16,13,25,30,10,6
16,14,24,30,10,6
16,15,23,30,10,6
16,16,22,30,10,6
16,17,21,30,10,6
17,13,24,30,10,6
17,14,23,30,10,6
17,15,22,30,10,6
17,16,21,30,10,6
19,14,25,29,8,5
19,15,24,29,8,5
19,16,23,29,8,5
19,17,22,29,8,5
19,13,25,30,8,5
19,14,24,30,8,5
19,15,23,30,8,5
19,16,22,30,8,5
19,17,21,30,8,5
18,27,12,35,7,1
15,23,22,35,3,2
21,24,10,36,8,1
21,25,9,36,8,1
21,21,23,31,2,2
21,21,22,32,2,2
20,20,12,40,6,2
20,19,12,41,6,2
20,16,13,35,9,7
17,22,12,42,6,1
16,22,12,43,6,1
15,22,12,44,6,1
21,27,12,29,10,1
21,27,12,30,9,1
15,21,11,42,9,2
20,20,17,40,2,1
20,19,17,41,2,1
18,28,9,37,7,1
15,13,18,49,3,2
17,30,20,29,3,1
18,29,20,29,3,1
16,30,20,30,3,1
17,29,20,30,3,1
18,28,20,30,3,1
15,30,20,31,3,1
16,29,20,31,3,1
17,28,20,31,3,1
18,27,20,31,3,1
15,29,20,32,3,1
16,28,20,32,3,1
17,27,20,32,3,1
18,26,20,32,3,1
15,28,20,33,3,1
16,27,20,33,3,1
17,26,20,33,3,1
18,25,20,33,3,1
15,27,20,34,3,1
16,26,20,34,3,1
17,25,20,34,3,1
18,24,20,34,3,1
15,26,15,36,6,2
16,25,15,36,6,2
17,24,15,36,6,2
20,21,24,31,2,2
20,21,23,32,2,2
20,21,22,33,2,2
20,17,13,35,9,6
17,27,12,35,8,1
18,14,20,34,10,4
20,23,20,34,1,2
20,27,10,34,8,1
20,30,21,25,3,1
20,29,21,26,3,1
20,28,21,27,3,1
20,27,21,28,3,1
19,26,10,36,8,1
19,22,25,30,3,1
19,22,24,31,3,1
19,22,23,32,3,1
19,22,22,33,3,1
15,15,21,42,6,1
16,14,21,42,6,1
17,13,21,42,6,1
15,14,21,43,6,1
16,13,21,43,6,1
15,13,21,44,6,1
19,17,15,35,9,5
15,22,21,35,6,1
19,27,12,33,8,1
20,17,13,33,10,7
19,24,10,40,6,1
18,24,10,41,6,1
19,24,9,41,6,1
19,17,25,28,7,4
21,19,10,42,6,2
21,18,10,43,6,2
21,19,9,43,6,2
21,17,10,44,6,2
21,18,9,44,6,2
21,16,10,45,6,2
21,17,9,45,6,2
17,22,10,43,6,2
16,22,10,44,6,2
17,22,9,44,6,2
15,22,10,45,6,2
16,22,9,45,6,2
16,19,11,42,10,2
17,18,11,42,10,2
15,19,11,43,10,2
16,18,11,43,10,2
17,17,11,43,10,2
15,18,11,44,10,2
16,17,11,44,10,2
17,16,11,44,10,2
15,17,11,45,10,2
16,16,11,45,10,2
17,15,11,45,10,2
19,17,10,38,9,7
18,17,10,39,9,7
19,16,10,39,9,7
19,17,9,39,9,7
18,16,10,40,9,7
18,17,9,40,9,7
19,15,10,40,9,7
19,16,9,40,9,7
18,15,10,41,9,7
18,16,9,41,9,7
19,14,10,41,9,7
19,15,9,41,9,7
15,27,15,38,3,2
16,26,15,38,3,2
17,25,15,38,3,2
18,16,25,36,3,2
18,17,24,36,3,2
18,15,25,37,3,2
18,16,24,37,3,2
18,17,23,37,3,2
19,27,25,22,5,2
19,28,24,22,5,2
19,29,23,22,5,2
19,30,22,22,5,2
19,26,25,23,5,2
19,27,24,23,5,2
19,28,23,23,5,2
19,29,22,23,5,2
19,25,25,24,5,2
19,26,24,24,5,2
19,27,23,24,5,2
19,28,22,24,5,2
19,24,25,25,5,2
19,25,24,25,5,2
19,26,23,25,5,2
19,27,22,25,5,2
19,24,24,26,5,2
19,25,23,26,5,2
19,26,22,26,5,2
19,24,23,27,5,2
19,25,22,27,5,2
19,24,22,28,5,2
21,27,9,35,7,1
21,14,14,47,2,2
21,13,14,48,2,2
22,17,19,38,3,1
22,27,12,31,7,1
23,20,16,29,10,2
23,19,16,30,10,2
17,17,25,36,3,2
16,17,25,37,3,2
17,16,25,37,3,2
17,17,24,37,3,2
20,13,22,29,9,7
20,14,21,29,9,7
20,13,21,30,9,7
21,26,10,32,10,1
22,23,15,36,2,2
17,17,14,35,10,7
16,27,12,36,8,1
18,13,23,32,9,5
18,14,22,32,9,5
18,15,21,32,9,5
18,13,22,33,9,5
18,14,21,33,9,5
18,13,24,31,9,5
18,14,23,31,9,5
18,15,22,31,9,5
18,16,21,31,9,5
20,27,9,35,8,1
18,30,20,28,3,1
20,13,13,49,3,2
20,17,19,30,10,4
19,14,25,37,4,1
19,15,24,37,4,1
19,16,23,37,4,1
19,17,22,37,4,1
20,13,24,29,7,7
20,14,23,29,7,7
20,15,22,29,7,7
20,16,21,29,7,7
20,13,23,30,7,7
20,14,22,30,7,7
20,15,21,30,7,7
18,17,20,34,6,5
18,22,20,37,1,2
18,13,24,29,10,6
18,14,23,29,10,6
18,15,22,29,10,6
18,16,21,29,10,6
18,13,23,30,10,6
18,14,22,30,10,6
18,15,21,30,10,6
15,16,25,29,9,6
15,17,24,29,9,6
16,15,25,29,9,6
16,16,24,29,9,6
16,17,23,29,9,6
17,14,25,29,9,6
17,15,24,29,9,6
17,16,23,29,9,6
17,17,22,29,9,6
15,15,25,30,9,6
15,16,24,30,9,6
15,17,23,30,9,6
16,14,25,30,9,6
16,15,24,30,9,6
16,16,23,30,9,6
16,17,22,30,9,6
17,13,25,30,9,6
17,14,24,30,9,6
17,15,23,30,9,6
17,16,22,30,9,6
17,17,21,30,9,6
21,19,25,31,2,2
21,20,24,31,2,2
21,18,25,32,2,2
21,19,24,32,2,2
21,20,23,32,2,2
21,17,25,33,2,2
21,18,24,33,2,2
21,19,23,33,2,2
21,20,22,33,2,2
21,16,25,34,2,2
21,17,24,34,2,2
21,18,23,34,2,2
21,19,22,34,2,2
18,14,25,31,7,5
18,15,24,31,7,5
18,16,23,31,7,5
18,17,22,31,7,5
18,13,25,32,7,5
18,14,24,32,7,5
18,15,23,32,7,5
18,16,22,32,7,5
18,17,21,32,7,5
18,13,24,33,7,5
18,14,23,33,7,5
18,15,22,33,7,5
18,16,21,33,7,5
22,21,12,37,6,2
19,30,15,31,3,2
18,30,15,32,3,2
19,29,15,32,3,2
18,29,15,33,3,2
19,28,15,33,3,2
18,28,15,34,3,2
19,27,15,34,3,2
18,27,9,39,6,1
20,13,25,29,8,5
20,14,24,29,8,5
20,15,23,29,8,5
20,16,22,29,8,5
20,17,21,29,8,5
20,13,24,30,8,5
20,14,23,30,8,5
20,15,22,30,8,5
20,16,21,30,8,5
18,17,17,44,3,1
17,17,17,45,3,1
18,16,17,45,3,1
16,17,17,46,3,1
17,16,17,46,3,1
18,15,17,46,3,1
22,21,12,40,4,1
18,17,25,27,10,3
18,16,25,28,10,3
18,17,24,28,10,3
22,13,11,46,7,1
20,13,20,35,7,5
20,16,21,39,3,1
20,15,21,40,3,1
20,14,21,41,3,1
18,15,20,34,9,4
21,13,9,46,10,1
16,17,25,29,7,6
17,16,25,29,7,6
17,17,24,29,7,6
15,17,25,30,7,6
16,16,25,30,7,6
16,17,24,30,7,6
17,15,25,30,7,6
17,16,24,30,7,6
17,17,23,30,7,6
19,26,19,31,3,2
19,27,18,31,3,2
19,25,19,32,3,2
19,26,18,32,3,2
19,24,19,33,3,2
19,25,18,33,3,2
19,24,18,34,3,2
15,30,10,37,7,1
16,29,10,37,7,1
16,30,9,37,7,1
17,28,10,37,7,1
17,29,9,37,7,1
16,30,13,38,2,1
17,29,13,38,2,1
18,28,13,38,2,1
19,27,13,38,2,1
23,17,16,35,7,2
23,16,16,36,7,2
15,16,21,42,5,1
16,15,21,42,5,1
17,14,21,42,5,1
18,13,21,42,5,1
15,15,21,43,5,1
16,14,21,43,5,1
17,13,21,43,5,1
15,14,21,44,5,1
16,13,21,44,5,1
15,13,21,45,5,1
17,23,12,41,5,2
20,25,15,36,2,2
20,24,15,37,2,2
18,16,12,46,7,1
19,15,12,46,7,1
15,21,11,42,10,1
17,19,11,42,9,2
16,19,11,43,9,2
17,18,11,43,9,2
15,19,11,44,9,2
16,18,11,44,9,2
17,17,11,44,9,2
15,18,11,45,9,2
16,17,11,45,9,2
17,16,11,45,9,2
22,17,20,36,3,2
22,16,20,37,3,2
20,22,24,31,1,2
20,22,23,32,1,2
20,22,22,33,1,2
21,24,12,34,8,1
23,20,16,30,9,2
15,23,12,42,6,2
15,24,18,38,3,2
17,20,13,45,3,2
16,20,13,46,3,2
17,19,13,46,3,2
15,19,10,46,8,2
16,18,10,46,8,2
16,19,9,46,8,2
17,17,10,46,8,2
17,18,9,46,8,2
18,18,11,42,10,1
19,17,11,42,10,1
18,17,11,43,10,1
19,16,11,43,10,1
18,16,11,44,10,1
19,15,11,44,10,1
18,15,11,45,10,1
19,14,11,45,10,1
19,19,21,36,4,1
18,27,15,35,3,2
19,26,15,35,3,2
17,27,12,36,7,1
15,25,12,37,10,1
15,26,12,37,9,1
16,24,12,37,10,1
16,25,12,37,9,1
17,24,12,37,9,1
19,26,12,34,8,1
21,20,17,39,2,1
21,19,17,40,2,1
21,18,17,41,2,1
20,22,9,42,6,1
22,23,19,32,3,1
22,23,18,33,3,1
18,17,20,34,7,4
15,14,25,29,10,7
15,15,24,29,10,7
15,16,23,29,10,7
15,17,22,29,10,7
16,13,25,29,10,7
16,14,24,29,10,7
16,15,23,29,10,7
16,16,22,29,10,7
16,17,21,29,10,7
17,13,24,29,10,7
17,14,23,29,10,7
17,15,22,29,10,7
17,16,21,29,10,7
15,13,25,30,10,7
15,14,24,30,10,7
15,15,23,30,10,7
15,16,22,30,10,7
15,17,21,30,10,7
16,13,24,30,10,7
16,14,23,30,10,7
16,15,22,30,10,7
16,16,21,30,10,7
17,13,23,30,10,7
17,14,22,30,10,7
17,15,21,30,10,7
20,23,24,29,3,1
20,23,23,30,3,1
20,23,22,31,3,1
18,13,25,29,9,6
18,14,24,29,9,6
18,15,23,29,9,6
18,16,22,29,9,6
18,17,21,29,9,6
18,13,24,30,9,6
18,14,23,30,9,6
18,15,22,30,9,6
18,16,21,30,9,6
15,18,12,46,7,2
16,17,12,46,7,2
17,16,12,46,7,2
16,21,21,38,3,1
21,22,25,29,1,2
19,21,20,37,1,2
22,20,12,41,4,1
19,22,15,42,1,1
18,22,15,43,1,1
17,22,15,44,1,1
16,22,15,45,1,1
15,22,15,46,1,1
20,15,11,42,10,2
20,14,11,43,10,2
20,13,11,44,10,2
18,16,20,32,10,4
18,15,20,33,10,4
18,17,25,28,9,3
18,17,20,31,10,4
18,15,25,29,7,6
18,16,24,29,7,6
18,17,23,29,7,6
18,14,25,30,7,6
18,15,24,30,7,6
18,16,23,30,7,6
18,17,22,30,7,6
20,16,10,46,7,1
20,17,9,46,7,1
21,21,24,30,2,2
21,13,10,46,9,1
21,14,9,46,9,1
18,28,20,29,3,2
20,30,14,31,3,2
20,29,14,32,3,2
20,28,14,33,3,2
20,27,14,34,3,2
20,17,19,35,6,3
15,24,24,29,6,2
15,25,23,29,6,2
15,26,22,29,6,2
16,24,23,29,6,2
16,25,22,29,6,2
17,24,22,29,6,2
15,24,23,30,6,2
15,25,22,30,6,2
16,24,22,30,6,2
16,30,20,29,3,2
17,29,20,29,3,2
16,24,14,42,3,1
15,24,14,43,3,1
20,21,25,30,2,2
20,20,25,31,2,2
20,19,25,32,2,2
20,20,24,32,2,2
20,18,25,33,2,2
20,19,24,33,2,2
20,20,23,33,2,2
20,17,25,34,2,2
20,18,24,34,2,2
20,19,23,34,2,2
20,20,22,34,2,2
21,20,9,42,6,2
18,26,12,35,8,1
19,25,12,35,8,1
20,15,14,34,10,7
20,15,12,42,10,1
20,14,12,43,10,1
20,13,12,44,10,1
16,21,11,42,9,1
15,21,11,43,9,1
18,22,25,31,3,1
17,22,25,32,3,1
18,22,24,32,3,1
16,22,25,33,3,1
17,22,24,33,3,1
18,22,23,33,3,1
15,22,25,34,3,1
16,22,24,34,3,1
17,22,23,34,3,1
18,22,22,34,3,1
21,14,10,47,7,1
21,15,9,47,7,1
21,13,10,48,7,1
21,14,9,48,7,1
17,20,14,44,3,2
16,20,14,45,3,2
17,19,14,45,3,2
15,20,14,46,3,2
16,19,14,46,3,2
17,18,14,46,3,2
18,27,12,32,10,1
19,27,12,32,9,1
19,27,12,31,10,1
20,16,14,34,10,6
22,22,22,29,3,2
22,19,13,42,3,1
22,18,13,43,3,1
22,17,13,44,3,1
22,16,13,45,3,1
22,15,13,46,3,1
20,21,11,41,6,1
20,21,11,41,5,2
15,19,12,46,7,1
16,18,12,46,7,1
17,17,12,46,7,1
20,23,25,28,3,1
17,27,10,39,6,1
16,27,10,40,6,1
17,27,9,40,6,1
15,27,10,41,6,1
16,27,9,41,6,1
22,27,9,32,9,1
20,24,9,37,9,1
22,27,10,30,10,1
22,27,10,31,9,1
22,27,9,31,10,1
18,19,11,42,9,1
19,18,11,42,9,1
18,18,11,43,9,1
19,17,11,43,9,1
18,17,11,44,9,1
19,16,11,44,9,1
18,16,11,45,9,1
19,15,11,45,9,1
20,23,9,42,5,1
18,23,17,38,2,2
22,27,9,33,8,1
18,16,11,46,7,2
19,15,11,46,7,2
15,24,11,42,7,1
20,26,14,35,3,2
17,17,10,39,10,7
16,17,10,40,10,7
17,16,10,40,10,7
17,17,9,40,10,7
15,17,10,41,10,7
16,16,10,41,10,7
16,17,9,41,10,7
17,15,10,41,10,7
17,16,9,41,10,7
15,15,25,34,8,3
15,16,24,34,8,3
15,17,23,34,8,3
16,14,25,34,8,3
16,15,24,34,8,3
16,16,23,34,8,3
16,17,22,34,8,3
17,13,25,34,8,3
17,14,24,34,8,3
17,15,23,34,8,3
17,16,22,34,8,3
17,17,21,34,8,3
19,23,19,35,2,2
17,19,11,42,10,1
16,19,11,43,10,1
17,18,11,43,10,1
15,19,11,44,10,1
16,18,11,44,10,1
17,17,11,44,10,1
15,18,11,45,10,1
16,17,11,45,10,1
17,16,11,45,10,1
18,13,23,29,10,7
18,14,22,29,10,7
18,15,21,29,10,7
18,13,22,30,10,7
18,14,21,30,10,7
18,17,10,46,8,1
18,18,9,46,8,1
19,16,10,46,8,1
19,17,9,46,8,1
15,15,25,29,9,7
15,16,24,29,9,7
15,17,23,29,9,7
16,14,25,29,9,7
16,15,24,29,9,7
16,16,23,29,9,7
16,17,22,29,9,7
17,13,25,29,9,7
17,14,24,29,9,7
17,15,23,29,9,7
17,16,22,29,9,7
17,17,21,29,9,7
15,14,25,30,9,7
15,15,24,30,9,7
15,16,23,30,9,7
15,17,22,30,9,7
16,13,25,30,9,7
16,14,24,30,9,7
16,15,23,30,9,7
16,16,22,30,9,7
