formula,composition_obj,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,CFS
Al0.9 Fe1 Cr1 Ni1 Co1 Cu0.4,Al0.9 Fe1 Cr1 Ni1 Co1 Cu0.4,6,0.4206320152756217,0.3181216844692516,0.256029188545359,0.23375609882226636,0.21855508080993014,13.0,29.0,16.0,24.20754716981132,3.8846564613741537,24.0,49.0,73.0,24.0,59.30188679245283,6.002135991456033,49.0,26.9815386,63.546,36.5644614,51.918769762264155,8.469248319259517,51.9961,933.47,2180.0,1246.53,1673.6284905660375,299.0513349946601,1728.0,6.0,13.0,7.0,9.264150943396226,1.808472766108935,6.0,3.0,4.0,1.0,3.830188679245283,0.28195087219651127,4.0,121.0,139.0,18.0,128.81132075471695,5.529369882520466,124.0,1.61,1.91,0.2999999999999998,1.7903773584905656,0.11045923816304742,1.66,1.0,2.0,1.0,1.7358490566037736,0.38875044499822,1.0,0.0,1.0,1.0,0.16981132075471697,0.28195087219651116,0.0,0.0,10.0,10.0,5.660377358490566,2.1715913136347456,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.566037735849056,2.141687433250267,6.0,0.0,1.0,1.0,0.26415094339622636,0.38875044499822,0.0,0.0,5.0,5.0,0.8490566037735848,1.4097543609825558,0.0,0.0,5.0,5.0,2.641509433962264,1.5379138483446064,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.754716981132075,1.3627625489498043,2.0,10.245,16.48,6.235000000000001,11.649999999999999,1.640377358490565,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8027412641509433,0.7749628195087217,0.0,194.0,229.0,35.0,220.66037735849054,10.060519757920986,194.0,1.7358490566037736,0.16981132075471697,5.660377358490566,0.0,False,0.022248762806663658,0.003509827414106024,Al0.08824883036790525 Fe0.2029476526712424 Cr0.18896027295298032 Ni0.21329909136528424 Co0.21417053612080936 Cu0.09237361652177828 ,Al0.16981132075471697Fe0.18867924528301885Cr0.18867924528301885Ni0.18867924528301885Co0.18867924528301885Cu0.07547169811320754,0.044591917221983066,2.9997455332705862,0.00037777379683987835,2.705589177643289,1.0762104261391854,-0.014589010176380588,51.918769762264155,275.16947974000004,-7.336915831054295,0.07365139714823331,0.19629761480954072,9.264150943396228,8.139551441794232,4.08622641509434,29.0,2.0,1.0,26.0,0,73.90056603773586,0.38287292123687194,15.0726023495906,-0.0750522571316907,8.97
Al1 C0.1 Co1 Cr1 Fe1 N1,Al1 C0.1 Co1 Cr1 Fe1 N1,6,0.4388829271686156,0.3353117524459007,0.27053533595149765,0.24676450083088985,0.23031743982164085,6.0,27.0,21.0,19.137254901960784,7.681660899653979,7.0,49.0,82.0,33.0,63.66666666666667,11.372549019607844,49.0,12.0107,58.933195,46.922495,40.97325560784314,17.19785418685121,14.0067,63.05,3823.0,3759.95,1399.572549019608,706.9118031526336,63.05,6.0,15.0,9.0,10.27450980392157,3.06805074971165,6.0,2.0,4.0,2.0,3.372549019607843,0.7381776239907728,2.0,71.0,139.0,68.0,116.98039215686276,19.638600538254508,71.0,1.61,3.04,1.43,2.0147058823529416,0.42306805074971193,1.61,1.0,2.0,1.0,1.803921568627451,0.3152633602460592,1.0,0.0,3.0,3.0,0.823529411764706,0.9688581314878894,0.0,0.0,7.0,7.0,3.5294117647058827,2.906574394463668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,6.1568627450980395,1.837754709727028,3.0,0.0,1.0,1.0,0.19607843137254904,0.3152633602460592,0.0,0.0,5.0,5.0,1.647058823529412,1.9377162629757787,0.0,0.0,5.0,5.0,2.3529411764705883,1.9377162629757787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.196078431372549,1.0226835832372165,3.0,5.64,16.48,10.84,12.544656862745098,2.41546520569012,10.245,0.0,6.437,6.437,1.3503137254901962,2.1181391772395233,0.0,0.0,2.1106628,2.1106628,0.7174772549019608,0.8722272510572857,0.0,194.0,229.0,35.0,213.8039215686275,16.30911188004613,194.0,1.803921568627451,0.823529411764706,3.5294117647058827,0.0,False,0.4002395778963621,0.057214933333347075,Al0.12912075660624758 C0.0057477473555591005 Co0.2820261231367853 Cr0.24882849981631922 Fe0.2672474968746184 N0.06702937621047036 ,Al0.19607843137254904C0.019607843137254905Co0.19607843137254904Cr0.19607843137254904Fe0.19607843137254904N0.19607843137254904,0.20778936083897778,0.29732449781972814,0.00462758298037979,11.833910034602079,1.4666916599383217,-0.013920872366202893,40.97325560784314,208.9636036,-0.32241841396218907,0.17647424644856083,0.4694348327566321,10.27450980392157,65.5286428296809,4.277843137254902,25.0,1.0,6.0,18.0,0,67.91372549019609,1.0028319433443755,29.68808150711266,-0.30080790305713506,11.0
Al1 C0.2 Co1 Cr1 Fe1 N1,Al1 C0.2 Co1 Cr1 Fe1 N1,6,0.4317296984739163,0.32901681690134393,0.2653360233747671,0.24201911747930127,0.2258882587487766,6.0,27.0,21.0,18.884615384615383,7.825443786982248,7.0,49.0,82.0,33.0,63.92307692307692,11.449704142011832,49.0,12.0107,58.933195,46.922495,40.41628338461538,17.50978647928994,14.0067,63.05,3823.0,3759.95,1446.176923076923,729.1668639053255,63.05,6.0,15.0,9.0,10.346153846153845,3.091715976331361,6.0,2.0,4.0,2.0,3.346153846153846,0.7544378698224853,2.0,71.0,139.0,68.0,116.1923076923077,20.473372781065088,71.0,1.61,3.04,1.43,2.0250000000000004,0.43076923076923096,1.61,1.0,2.0,1.0,1.8076923076923077,0.3106508875739645,1.0,0.0,3.0,3.0,0.8461538461538461,0.9763313609467454,0.0,0.0,7.0,7.0,3.4615384615384612,2.9289940828402363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,6.115384615384615,1.8343195266272188,3.0,0.0,1.0,1.0,0.1923076923076923,0.3106508875739645,0.0,0.0,5.0,5.0,1.6923076923076923,1.9526627218934913,0.0,0.0,5.0,5.0,2.3076923076923075,1.9526627218934909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.1923076923076925,1.0059171597633136,3.0,5.64,16.48,10.84,12.411874999999998,2.4711538461538463,10.245,0.0,6.437,6.437,1.4108076923076924,2.170473372781065,0.0,0.0,2.1106628,2.1106628,0.7036796153846153,0.8660672189349111,0.0,194.0,229.0,35.0,213.4230769230769,16.434911242603555,194.0,1.8076923076923077,0.8461538461538461,3.4615384615384612,0.0,False,0.4002395778963621,0.05749048487648817,Al0.12838284445155201 C0.011429799113489073 Co0.28041437217068055 Cr0.24740646993301352 Fe0.2657202042731886 N0.0666463100580763 ,Al0.1923076923076923C0.038461538461538464Co0.1923076923076923Cr0.1923076923076923Fe0.1923076923076923N0.1923076923076923,0.21262067194540757,0.3122923322294432,0.012254873296118848,12.189349112426035,1.468101695892,-0.014221596536363382,40.41628338461538,210.1646736,-0.3145845437938617,0.17636596635788465,0.47633136094674544,10.346153846153848,65.85798816568047,4.337307692307693,25.0,1.0,6.0,18.0,0,75.28653846153847,1.1365355455598602,35.78823964497041,-0.3397851446542172,9.0
Al1 C0.3 Co1 Cr1 Fe1 N1,Al1 C0.3 Co1 Cr1 Fe1 N1,6,0.42567978010107466,0.32321667540000276,0.2603516500228261,0.2374541159084913,0.22162624185058363,6.0,27.0,21.0,18.641509433962263,7.9530081879672485,7.0,49.0,82.0,33.0,64.16981132075472,11.512993948024208,49.0,12.0107,58.933195,46.922495,39.880328981132074,17.786153983624065,14.0067,63.05,3823.0,3759.95,1491.022641509434,749.2548237807049,63.05,6.0,15.0,9.0,10.415094339622643,3.111427554289783,6.0,2.0,4.0,2.0,3.3207547169811327,0.7689569241723032,2.0,71.0,139.0,68.0,115.43396226415094,21.231755072979713,71.0,1.61,3.04,1.43,2.0349056603773588,0.43759344962620167,1.61,1.0,2.0,1.0,1.8113207547169812,0.30615877536489855,1.0,0.0,3.0,3.0,0.8679245283018867,0.9825560697757209,0.0,0.0,7.0,7.0,3.3962264150943398,2.9476682093271624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,6.075471698113208,1.8298326806692773,3.0,0.0,1.0,1.0,0.18867924528301888,0.30615877536489855,0.0,0.0,5.0,5.0,1.7358490566037734,1.9651121395514417,0.0,0.0,5.0,5.0,2.2641509433962264,1.9651121395514417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.188679245283019,0.9896760412958349,3.0,5.64,16.48,10.84,12.284103773584906,2.520959416162336,10.245,0.0,6.437,6.437,1.4690188679245284,2.2173869704521185,0.0,0.0,2.1106628,2.1106628,0.690402641509434,0.8597466856532574,0.0,194.0,229.0,35.0,213.05660377358492,16.539693841224633,194.0,1.8113207547169812,0.8679245283018867,3.3962264150943398,0.0,False,0.4002395778963621,0.05770469939907881,Al0.12765331855790849 C0.017047275204722438 Co0.2788209385127629 Cr0.24600060120622122 Fe0.26421026912328854 N0.06626759739509654 ,Al0.18867924528301888C0.05660377358490566Co0.18867924528301888Cr0.18867924528301888Fe0.18867924528301888N0.18867924528301888,0.21708129346263158,0.32546258824205276,0.01958169364665077,12.509789960840159,1.4694684113307666,-0.014431908651129232,39.88032898113208,211.36574359999997,-0.30625202570456306,0.17617704994343858,0.4823780704877181,10.415094339622643,66.11605553577786,4.394528301886793,25.0,1.0,6.0,18.0,0,82.38113207547171,1.2017129982537769,41.41121395514418,-0.37137528264050496,8.0
Al1 C0.4 Co1 Cr1 Fe1 N1,Al1 C0.4 Co1 Cr1 Fe1 N1,6,0.4206598774666869,0.3180075804404787,0.25561006228484623,0.2330662693525845,0.21752248267022922,6.0,27.0,21.0,18.40740740740741,8.065843621399177,7.0,49.0,82.0,33.0,64.4074074074074,11.563786008230451,49.0,12.0107,58.933195,46.922495,39.36422474074074,18.030229917695472,14.0067,63.05,3823.0,3759.95,1534.2074074074071,767.368449931413,63.05,6.0,15.0,9.0,10.481481481481481,3.1275720164609053,6.0,2.0,4.0,2.0,3.2962962962962963,0.7818930041152263,2.0,71.0,139.0,68.0,114.7037037037037,21.920438957475998,71.0,1.61,3.04,1.43,2.0444444444444443,0.44362139917695464,1.61,1.0,2.0,1.0,1.8148148148148149,0.30178326474622763,1.0,0.0,3.0,3.0,0.8888888888888888,0.9876543209876542,0.0,0.0,7.0,7.0,3.333333333333333,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,6.037037037037037,1.8244170096021946,3.0,0.0,1.0,1.0,0.18518518518518517,0.3017832647462277,0.0,0.0,5.0,5.0,1.7777777777777777,1.9753086419753088,0.0,0.0,5.0,5.0,2.222222222222222,1.9753086419753083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.185185185185185,0.9739368998628257,3.0,5.64,16.48,10.84,12.161064814814813,2.5654149519890255,10.245,0.0,6.437,6.437,1.525074074074074,2.2593689986282577,0.0,0.0,2.1106628,2.1106628,0.6776174074074074,0.8532959945130315,0.0,194.0,229.0,35.0,212.70370370370367,16.625514403292183,194.0,1.8148148148148149,0.8888888888888888,3.333333333333333,0.0,False,0.4002395778963621,0.057863762043210115,Al0.1269320367702026 C0.022601270248330054 Co0.27724551166720784 Cr0.24461061968894282 Fe0.26271739719957865 N0.065893164425738 ,Al0.18518518518518517C0.07407407407407407Co0.18518518518518517Cr0.18518518518518517Fe0.18518518518518517N0.18518518518518517,0.22120848781586955,0.33745199014666855,-0.01721694792828508,12.798353909465018,1.4707937764345036,-0.01458502024404227,39.364224740740745,212.5668136,-0.2980598389225521,0.17591813915447665,0.48765432098765427,10.481481481481483,66.31001371742111,4.449629629629631,25.0,1.0,6.0,18.0,0,89.21296296296298,1.2326439628313444,46.59698216735253,-0.39650797833427043,7.0
Al1 C0.5 Co1 Cr1 Fe1 N1,Al1 C0.5 Co1 Cr1 Fe1 N1,6,0.4165977904505309,0.3134742945802482,0.25117273236020954,0.2288690323009513,0.21357125142693337,6.0,27.0,21.0,18.181818181818183,8.165289256198347,7.0,49.0,82.0,33.0,64.63636363636364,11.603305785123966,49.0,12.0107,58.933195,46.922495,38.86688792727273,18.24495680661157,14.0067,63.05,3823.0,3759.95,1575.8218181818183,783.6813223140496,63.05,6.0,15.0,9.0,10.545454545454545,3.1404958677685952,6.0,2.0,4.0,2.0,3.272727272727273,0.793388429752066,2.0,71.0,139.0,68.0,114.0,22.545454545454547,71.0,1.61,3.04,1.43,2.0536363636363633,0.4489256198347105,1.61,1.0,2.0,1.0,1.8181818181818181,0.29752066115702486,1.0,0.0,3.0,3.0,0.9090909090909091,0.9917355371900828,0.0,0.0,7.0,7.0,3.272727272727273,2.975206611570248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,6.0,1.8181818181818181,3.0,0.0,1.0,1.0,0.18181818181818182,0.2975206611570248,0.0,0.0,5.0,5.0,1.8181818181818181,1.9834710743801651,0.0,0.0,5.0,5.0,2.1818181818181817,1.9834710743801651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.181818181818182,0.9586776859504131,3.0,5.64,16.48,10.84,12.0425,2.6050000000000004,10.245,0.0,6.437,6.437,1.579090909090909,2.2968595041322315,0.0,0.0,2.1106628,2.1106628,0.6652970909090908,0.8467417520661158,0.0,194.0,229.0,35.0,212.36363636363637,16.694214876033058,194.0,1.8181818181818181,0.9090909090909091,3.272727272727273,0.0,False,0.4002395778963621,0.057973209793054245,Al0.12621886012815445 C0.02809285426260355 Co0.2756877881163623 Cr0.2432362575909415 Fe0.261241300889223 N0.06552293901271519 ,Al0.18181818181818182C0.09090909090909091Co0.18181818181818182Cr0.18181818181818182Fe0.18181818181818182N0.18181818181818182,0.22503422487455216,0.34855403555925407,-0.011914290084551754,13.057851239669423,1.4720796434411159,-0.014697168880613485,38.86688792727273,213.7678836,-0.29022614738944447,0.1755984308054516,0.4922314049586777,10.545454545454547,66.44628099173553,4.502727272727273,25.0,1.0,6.0,18.0,0,95.79636363636365,1.244517710813076,51.38165289256199,-0.4163988578332206,6.0
Al1 C1 Co1 Cr1 Fe1 N1,Al1 C1 Co1 Cr1 Fe1 N1,6,0.408248290463863,0.3028534321386899,0.23849484685087588,0.2152847236817911,0.1993718664752192,6.0,27.0,21.0,17.166666666666668,8.5,6.0,49.0,82.0,33.0,65.66666666666667,11.666666666666666,49.0,12.0107,58.933195,46.922495,36.62887226666666,18.9625594,12.0107,63.05,3823.0,3759.95,1763.0866666666668,843.2177777777775,63.05,6.0,15.0,9.0,10.833333333333334,3.1666666666666665,6.0,2.0,4.0,2.0,3.1666666666666665,0.8333333333333334,2.0,71.0,139.0,68.0,110.83333333333333,24.88888888888889,71.0,1.61,3.04,1.43,2.095,0.46666666666666673,1.61,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,5.833333333333333,1.8333333333333333,3.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777785,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.166666666666667,0.888888888888889,3.0,5.64,16.48,10.84,11.508958333333332,2.743611111111111,5.64,0.0,6.437,6.437,1.8221666666666667,2.4295555555555555,0.0,0.0,2.1106628,2.1106628,0.6098556666666667,0.8131408888888888,0.0,194.0,229.0,35.0,210.83333333333334,16.833333333333332,194.0,1.8333333333333333,1.0,3.0,0.0,False,0.4002395778963621,0.05793336309831412,Al0.12276990313164325 C0.054650422179527876 Co0.2681545611112126 Cr0.23658977550758487 Fe0.2541028271970605 N0.06373251087297103 ,Al0.16666666666666666C0.16666666666666666Co0.16666666666666666Cr0.16666666666666666Fe0.16666666666666666N0.16666666666666666,0.24049773886041084,0.39527988548026316,0.002506305659769059,14.0,1.477974116151082,-0.014896688227162048,36.62887226666667,219.77323359999997,-0.25755366450366063,0.17333371060725292,0.5066666666666667,10.833333333333336,66.44444444444444,4.741666666666667,25.0,1.0,6.0,18.0,0,125.4216666666667,1.2008262712624884,70.3313888888889,-0.4671192991801345,7.0
Al1 C1.5 Co1 Cr1 Fe1 N1,Al1 C1.5 Co1 Cr1 Fe1 N1,6,0.4142434467026542,0.31242677695736004,0.25533929616078777,0.2393884494499513,0.23269613765745634,6.0,27.0,21.0,16.307692307692307,8.63905325443787,6.0,49.0,82.0,33.0,66.53846153846153,11.57396449704142,77.0,12.0107,58.933195,46.922495,34.73516670769231,19.251936885207098,12.0107,63.05,3823.0,3759.95,1921.5415384615385,957.1218934911243,3823.0,6.0,15.0,9.0,11.076923076923077,3.1479289940828403,14.0,2.0,4.0,2.0,3.076923076923077,0.8520710059171598,2.0,71.0,139.0,68.0,108.15384615384616,26.272189349112423,76.0,1.61,3.04,1.43,2.13,0.4738461538461538,2.55,1.0,2.0,1.0,1.8461538461538463,0.26035502958579876,2.0,0.0,3.0,3.0,1.0769230769230769,1.0177514792899407,2.0,0.0,7.0,7.0,2.769230769230769,2.982248520710059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,5.6923076923076925,1.8224852071005917,4.0,0.0,1.0,1.0,0.15384615384615385,0.26035502958579876,0.0,0.0,5.0,5.0,2.1538461538461537,1.9881656804733725,4.0,0.0,5.0,5.0,1.8461538461538463,1.9881656804733725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.153846153846154,0.8284023668639053,4.0,5.64,16.48,10.84,11.057499999999997,2.851153846153846,5.64,0.0,6.437,6.437,2.027846153846154,2.495810650887574,4.496,0.0,2.1106628,2.1106628,0.5629436923076923,0.7794604970414201,0.0,194.0,229.0,35.0,209.53846153846155,16.733727810650887,194.0,1.8461538461538463,1.0769230769230769,2.769230769230769,0.0,False,0.4002395778963621,0.05721923187783968,Al0.11950441963885189 C0.07979521225059187 Co0.26102207773793473 Cr0.2302968650566023 Fe0.24734409752050548 N0.062037327795513734 ,Al0.15384615384615385C0.23076923076923078Co0.15384615384615385Cr0.15384615384615385Fe0.15384615384615385N0.15384615384615385,0.25142919869379793,0.4326819657077719,0.016413551089130955,14.50887573964497,1.4831044783399159,-0.014784231704418766,34.735166707692315,225.7785836,-0.23386613472373946,0.17039823877112262,0.5110059171597634,11.076923076923078,65.65680473372781,4.943846153846154,25.0,1.0,6.0,18.0,0,150.48923076923077,1.1213904585018846,83.06662721893493,-0.47545880566925414,6.0
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,5,0.47140452079103173,0.38157141418444396,0.3412787518465365,0.3348018758685008,0.33346331334947604,13.0,28.0,15.0,21.833333333333332,5.888888888888889,13.0,49.0,73.0,24.0,61.5,7.666666666666667,73.0,26.9815386,58.933195,31.951656399999997,46.57179536666666,13.060171177777777,26.9815386,933.47,2180.0,1246.53,1558.99,417.0133333333333,933.47,6.0,13.0,7.0,9.833333333333334,2.1666666666666665,13.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,121.0,139.0,18.0,127.16666666666667,5.555555555555557,121.0,1.61,1.91,0.2999999999999998,1.75,0.1233333333333333,1.61,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,2.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,1.0,0.0,8.0,8.0,4.333333333333333,2.8888888888888893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.5,2.5,3.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777785,0.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,5.0,0.0,5.0,5.0,2.3333333333333335,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.166666666666667,1.1666666666666667,5.0,10.245,16.48,6.235000000000001,12.574166666666665,2.6038888888888887,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7090881166666666,0.7469859222222223,0.0,194.0,229.0,35.0,221.16666666666666,9.055555555555562,225.0,1.8333333333333333,0.3333333333333333,4.333333333333333,0.0,False,0.022248762806663658,0.003974980187053117,Al0.1931178759416534 Co0.21090445599820734 Cr0.18607864692434187 Fe0.19985272044422314 Ni0.2100463006915743 ,Al0.3333333333333333Co0.16666666666666666Cr0.16666666666666666Fe0.16666666666666666Ni0.16666666666666666,0.053600792086149394,1.3097951733106243,-0.0008838584412636704,3.6666666666666665,1.0756997504579842,-0.012975746340770252,46.57179536666666,139.7153861,-4.516374347434559,0.08505695077318604,0.2216666666666666,9.833333333333334,15.444444444444443,3.9983333333333335,28.0,1.0,1.0,26.0,0,67.14500000000001,0.4748814466092716,17.130833333333328,-0.0947095252993421,9.98
Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,6,0.44966165485534987,0.3570844583083331,0.31163365105700463,0.3025883380731392,0.30018698595205606,13.0,28.0,15.0,22.13553223388306,5.48760198611339,13.0,43.0,73.0,30.0,60.49805097451274,7.6647872165866096,73.0,26.9815386,58.933195,31.951656399999997,47.27280780209894,12.168677182668038,26.9815386,933.47,2180.0,1246.53,1592.711544227886,395.34725291027644,933.47,4.0,13.0,9.0,9.532833583208395,2.2350290521905465,13.0,3.0,4.0,1.0,3.7001499250374814,0.4198800150149812,3.0,121.0,160.0,39.0,128.46656671664167,6.7894386240163245,121.0,1.54,1.91,0.3699999999999999,1.7477121439280356,0.12565885692835738,1.61,1.0,2.0,1.0,1.8332833583208397,0.27784440613276556,2.0,0.0,1.0,1.0,0.2998500749625187,0.4198800150149812,1.0,0.0,8.0,8.0,4.401199400299849,2.7992399002897352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.534332833583208,2.466406496901474,3.0,0.0,1.0,1.0,0.16671664167916042,0.2778444061327657,0.0,0.0,5.0,5.0,1.4992503748125936,2.099400075074906,5.0,0.0,8.0,8.0,2.6002998500749626,1.7595601599500101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.266266866566717,1.266646556781579,5.0,10.245,16.69,6.445000000000002,12.579985007496251,2.612429779113442,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7093014867766115,0.7470676166143375,0.0,194.0,229.0,35.0,220.13373313343328,10.453493253373315,225.0,1.8332833583208397,0.2998500749625187,4.401199400299849,0.0,False,0.033645949486530435,0.004173215522171968,Al0.1711431317065722 Co0.20783923804472743 Cr0.1833742393450321 Fe0.19694812488289157 Ni0.20699355489303442 Ti0.03370171112774245 ,Al0.2998500749625187Co0.16671664167916042Cr0.16671664167916042Fe0.16671664167916042Ni0.16671664167916042Ti0.033283358320839576,0.053945507740620006,1.2854409507102014,-0.0008943176954163297,3.698142053411075,1.0804120157374417,-0.01387672270218152,47.27280780209895,157.65481401999998,-4.768440190449996,0.0901431509877004,0.23451588148953995,9.532833583208395,17.193801420129518,4.0471094452773615,30.0,1.0,1.0,28.0,0,67.58152323838081,0.46494513496180806,16.973196017883108,-0.09498209244745165,10.02
